1,! - JEWISH BOT - !,1
2,! - JEWISH BOT 1 - !,1
3,! - JEWISH BOT 10 - !,2
4,! - JEWISH BOT 11 - !,2
5,! - JEWISH BOT 12 - !,2
6,! - JEWISH BOT 13 - !,1
7,! - JEWISH BOT 14 - !,1
8,! - JEWISH BOT 15 - !,1
9,! - JEWISH BOT 16 - !,1
10,! - JEWISH BOT 17 - !,1
11,! - JEWISH BOT 18 - !,1
12,! - JEWISH BOT 2 - !,2
13,! - JEWISH BOT 3 - !,2
14,! - JEWISH BOT 4 - !,2
15,! - JEWISH BOT 5 - !,2
16,! - JEWISH BOT 6 - !,2
17,! - JEWISH BOT 7 - !,2
18,! - JEWISH BOT 8 - !,2
19,! - JEWISH BOT 9 - !,2
20,$amSpadeBot,1
21,$traight-Bot,4
22,( Parenthebot ),1
23,((Bot)),1
24,(1.VSNCT)Bot,5
25,(AutoBot block UsernameBlocked.),1
26,(O.O)(o.o)(V.V)BOT,1
27,(Opjaveleß),1
28,*NoD*-32*C.s PrO BoT,1
29,-DragonMasterBot-,3
30,-LarsBot-,1
31,-Nmdbot,1
32,-pkd-bot,1
33,-sche-bot,9
34,.anacondabot,11
35,.pier.bot.,1
36,.snoopybot.,5
37,01110101011101010 BOT,1
38,08-15-Bot,1
39,08Saibot,1
40,09Saibot,1
41,0bot,1
42,0xSilentBot,2
43,1000MovieBot,1
44,100Bot,1
45,10K Şabloncusu,1
46,10caartbot,2
47,123 bot,2
48,12345hbot,1
49,123bot,1
50,123irobot,1
51,123robot,1
52,1981bot,1
53,1SeriesBOT,1
54,1VeertjeBot,2
55,1bot,1
56,1marobot,1
57,1x3robot,1
58,2000benderbot,1
59,2007robot,1
60,20th Century Bot,1
61,2145talbot,1
62,21Bot,2
63,2222Bot,1
64,24Bot,1
65,26cabot,1
66,28 talbot,1
67,28bot,1
68,28th Robot,1
69,2D3X ROBOT,1
70,2YasBot,9
71,2b8s6c bot,1
72,2bot,1
73,2wikibot,1
74,3234bot 1,1
75,345erbot,1
76,37talbot,1
77,3RRBot,1
78,3SeriesBOT,1
79,3dZbot,1
80,3dbot,2
81,3leggedrobot,1
82,404Bot,1
83,4315Bot,2
84,439bot,1
85,47ItalyBot,1
86,4897srobot,1
87,48bitBot,1
88,4bot,1
89,4kerbot,1
90,4nn1l2Bot,2
91,5%gFD-hitler-robot-admin,1
92,555.bot,2
93,57Bot,1
94,5SeriesBOT,1
95,68DANNY2bot,1
96,6zagbot,1
97,718 Bot,1
98,777 kkkbot,1
99,78botbot,1
100,7SeriesBOT,1
101,84storybot,1
102,8bitbot,1
103,905bot,1
104,94530bot,1
105,A Bot,1
106,A Grammar-Robot,1
107,A bot called Bob,1
108,A dancing robot,1
109,A self professed vandal bot,1
110,A self professed vandal bot on wheels!,1
111,A test of the Wiki robot,1
112,A user bot,1
113,A user bot1,1
114,A-Bot,2
115,A-bot,1
116,A.bot,1
117,A1mBot nnov,16
118,A2bot,2
119,A3ng3lBot,3
120,A4bot,1
121,AABot,7
122,AABot\,1
123,AAlertBot,1
124,AB.G.H.BOT,1
125,AB.G.H.BOT.,3
126,ABFbot,254
127,ABot,2
128,ABotSupreme,1
129,ACBot,1
130,ACardboardRobot,1
131,ADDBOT,1
132,ADSLBot,1
133,AE-Bot,2
134,AEBot,4
135,AFC clerk bot,1
136,AFCbot,1
137,AFD Bot,1
138,AFD Multi-Vote Bot LOL,1
139,AGBot,1
140,AGKbot,1
141,AGabot,2
142,AGissBot,1
143,AGogoBot,1
144,AHOBOT,1
145,AHbot,285
146,AIDbot,1
147,AJ GRIMBOT,1
148,AJBot,1
149,AJZBot,1
150,AK Bot,1
151,AKBot,2
152,ALBERT NABOT,2
153,ALBot,4
154,AMABot,1
155,AMPERBOT,1
156,AMbot,1
157,ANAL SEX0R WITH TAT0R TOTS UNICODIFY BOT!,1
158,ANAL SEX0R WITH TAT0R TOTS UNICODIFY BOT!!!,1
159,AOL user message bot,1
160,AOL user message bot 2,1
161,AP.BOT,1
162,APPERbot,2
163,ARSBot,1
164,ARTbot,2
165,ARVBot,1
166,AS-bot,1
167,ASKYbot,1
168,ASammourBot,1
169,ASamulobot,1
170,ASbot,4
171,ASnowbot,1
172,AStarBot,285
173,AT-bot,1
174,ATTN&comma; WIKIPEDIANS! MISZA13 IS A BOT THAT AUTOBLOCKS NAMES!,1
175,AVBOT,3
176,AVIADOR-bot,1
177,AVdiscuBOT,2
178,AWBkärppäBOT,1
179,AWeenieBot,1
180,AZatBot,17
181,Aa1bb2cc3dd4ee5Bot,2
182,Aabbot,1
183,AarghBot,1
184,AaronBot,1
185,Aatrox Bot,1
186,Ab.awbot,2
187,Ab2lbot,1
188,Abbot,11
189,Abbot 1,1
190,Abbot Beryl,1
191,Abbot Brian,1
192,Abbot C,1
193,Abbot Dom,1
194,Abbot Don,1
195,Abbot Fischer,1
196,Abbot Justice,1
197,Abbot Supreme Being,1
198,Abbot Tryphon,1
199,Abbot gordon,1
200,Abbot of Dwayna,1
201,Abbot of croyland,1
202,Abbot-Hayes,4
203,Abbottbot,1
204,Abcbot,2
205,Abcdrobot,1
206,Abdel Bot,1
207,Abdi armanbot,3
208,AbdullBot,1
209,Abedbot,1
210,Abel Robot Light,1
211,AbgerufenBot,2
212,Abhibot,10
213,AbhijayBOT,1
214,AbiBot,3
215,AbiBot.nl.wiki,1
216,Abibot,2
217,Abichatbot,1
218,Abisys.bot,5
219,AbiyoyoBot,2
220,Abl-bot,1
221,AboHeidiBot,1
222,Abobot,1
223,Abocarobot,1
224,Abohbot,1
225,AbohediBot,1
226,Abominabot,1
227,Abot,3
228,Abot Igang,1
229,Abot Lainturutaneun,1
230,Aboyrobot,1
231,Abrasuranceturixbot,1
232,AbrazellaBot,1
233,Abrokenrobot,1
234,Absconditus bot,1
235,Absobot,1
236,Absrobot,2
237,Abubot,1
238,AbuseBot,1
239,Abybot,1
240,Abyssbot,2
241,Abztoskript-bot,1
242,Aca-bot,2
243,Acabot,1
244,Academic-bot,1
245,AcademicRobot,1
246,AcalamariBot,1
247,AccReqBot,1
248,Accountrobot,1
249,Accubot,1
250,Acebot,284
251,Acee8Bot,1
252,Achabot,3
253,Achtung.abbot,1
254,Acobot,2
255,ActNotRobot,1
256,ActiveAdminBot,1
257,Actorbot,1
258,Acubot,1
259,AdBo.bot,1
260,AdBot,2
261,AdQ Bot,1
262,AdaBot,2
263,Adabot,1
264,Adam7-bot,2
265,Adam78bot,1
266,AdamBot,1
267,AdamTroxBot,1
268,Adambot,1
269,AdambroBot,1
270,Adamlinkrobot,1
271,Adamrobot,1
272,Adamscybot,1
273,Adamtalbot,1
274,Adas bot,1
275,Adbot 88,1
276,Add.bot.wiki,1
277,AddBOT,13
278,Addbot,284
279,Addbot (usurped),1
280,AddbotAddbot,1
281,Addihockey10 (automated),285
282,AddihockeyBot,268
283,Addis-Bot,1
284,Adelgabot,2
285,AdertBot,2
286,Adflsauidbot,1
287,Adielle Botêlho,1
288,Adisetiadi khebot,1
289,Adlerbot,285
290,Adm-Ex-bot,1
291,Admin bot sysop script rollback,1
292,AdminBot,1
293,AdminPoopBot,1
294,AdminStatsBot,1
295,Adminbot,2
296,Administrative robot,1
297,Administrator bot,1
298,Adminsttrollbot,1
299,Admirnabuse detection bot,1
300,Admrbot,1
301,AdnergjeBot,1
302,Adria.babot,2
303,Adrian Buehlmann Bot,1
304,Adrian talbot,1
305,Adrian-Bot,1
306,Adrianbarbobot,1
307,Adrie-bot,1
308,AdrilleBot,3
309,Adrnin-approved VandaIbot,1
310,Ads-bot,2
311,Adtalbot,1
312,AdvancedRobot,2
313,Advbot,1
314,AdvertBot,1
315,AdvertisingBlockBot,1
316,Advisbot,3
317,AerfoBot,2
318,AeroBot,9
319,AerobicRobot,1
320,Aerobot,1
321,Aetherbot,1
322,AfCMentorBot,1
323,AfDBot,1
324,AfDStatBot,2
325,Afaderbot,1
326,Afdbot,1
327,AfdlBot,1
328,AfinogenoffBot,6
329,Afkbot,3
330,AfnecorsBot,1
331,Afrabot,1
332,Afrank99bot,1
333,AfrikaBot,2
334,Afrobot,1
335,Afrorobot,1
336,Afsharbot,2
337,AftabBot,4
338,Afüzeibot,1
339,Agamebot,1
340,Agbot tr,1
341,Ageism Bot,1
342,AgentSpartiBot,1
343,AgentsooBot,1
344,Agirlrobot,1
345,Agnes Talbot,2
346,Agreenrobot,1
347,Agriturismo el ciabot ed po,1
348,Agtbot,4
349,AgüeybanáBot,1
350,AhelpingBOT,1
351,Ahmad2099.BOT,1
352,AhmadBot,1
353,AhmadSherifBot,1
354,Ahmadnetbot,3
355,Ahn cheol bot,1
356,AibdescalBOT,1
357,Aibot,285
358,Aibot (usurped),1
359,Aidanrobot,1
360,Aikofembot,1
361,AilurophobiaBot,1
362,Aim-Bot,1
363,AimaiBot,1
364,Aiman titiBot,31
365,Aimbot,2
366,Aimbot 999,1
367,AinaliBot,1
368,AiraBot,2
369,Airbot,2
370,Airgeadbot Aire,1
371,Airobot,3
372,AironBot,1
373,Aitan bot,3
374,AiuwBot,1
375,Ajaxbot,1
376,Ajaxsbot,1
377,Ajmahrz-bot,1
378,Ajrbot,1
379,AkBot,34
380,AkaBot,1
381,Akabot,1
382,Akapribot,1
383,Akasanbot,1
384,Akasenbot,3
385,Akashbot,1
386,AkelaBot,10
387,AkeronBot,93
388,AkhtaBot,5
389,AkiBot,1
390,Akibot,1
391,Akira.bot,1
392,AkishinBot,2
393,Akockebot,1
394,Akololorobot,1
395,AkoopalBot,1
396,Akrobot,1
397,Aksibot,1
398,AktaloBot,1
399,Aktionsbot,1
400,Akubot,1
401,Al Franken Bot,1
402,Al Maghi Bot,1
403,Al-ankabot,1
404,Al1bot,1
405,Al3ankabot,2
406,Al9999Bot,3
407,Alabbot,1
408,Aladobot,84
409,Alaibot,1
410,Alain Jabot,1
411,Alainchabot,2
412,Alan Chebot,1
413,AlanBOT,1
414,AlanTheRobot,1
415,Alansmith@bot.org,1
416,Albabot,2
417,Albambot,285
418,Albbot,2
419,Albert Bohbot,1
420,Albert bohbot,1
421,Albert shabot,1
422,Albertbohbot,1
423,Albertbot,1
424,AlberteBot,1
425,Albertotherobot,1
426,Albertrobot,1
427,Albeth Bot,1
428,AlboRobot,1
429,Albot,1
430,Albot Kater,2
431,Albotaalbot,1
432,Albudriibot,1
433,Alch Bot,160
434,AlcoBot,1
435,Alcobot,1
436,Ale jrb bot,1
437,AleBot,1
438,AlePediaBot,1
439,Alealebot,1
440,Alebot,3
441,Alecs.bot,285
442,AleksandritBot,1
443,AlekseyBot,1
444,AlenshaBOT,1
445,AlenshaBot,1
446,Aleph Bot,6
447,Alephbot,1
448,Alerobot,1
449,Alertbot,1
450,AlerxBot,7
451,AlessioBot,1
452,Aleth Bot,7
453,Alex Abbot,1
454,Alex brolloBot,3
455,Alex(notarobot),1
456,AlexBot,1
457,AlexChabot,1
458,AlexNewArtBot,1
459,AlexVinSbot,1
460,AlexaBot,25
461,Alexander Manluvinbot,1
462,Alexanderbot,1
463,Alexandertgtalbot,2
464,AlexandharrisonBot,1
465,Alexandr bot,6
466,Alexandra bot,1
467,AlexandreWikiBot,1
468,AlexandriaBot,1
469,Alexbot,285
470,Alexcabot,1
471,AlexeiBot,1
472,Alexey bot,1
473,Alexiatalbot,1
474,AlexrkBot,1
475,Alextalbot,1
476,Alextherobot,1
477,Alfabot,1
478,Alfiebot,2
479,Alfiobot,1
480,Alfons6669-bot,1
481,AliBot,272
482,Aliaimbot,1
483,Aliaksei bot,1
484,Alialshabbot,1
485,Aliasbdzbot,1
486,Aliasrobot,1
487,Alibot,2
488,Alienrobot,1
489,AlifakoorBot,1
490,AlifshinobiBot,3
491,Alinebot,3
492,AlinurBot,2
493,Alirezabot,284
494,Alirio bot,1
495,Alismayilov bot,1
496,AlismayilovBot,1
497,Alisontalbot,2
498,Alittleredrobot,1
499,Aljakrobot,1
500,AlkBot,1
501,AlkabBot,1
502,AlkamidBot,2
503,All bot reverting account,1
504,Alla7bot,1
505,AllaSmackBot,1
506,AlleborgoBot,285
507,Allenrobot,1
508,Allforfatbot,1
509,Alliabbot,1
510,AllieBot,3
511,Allietalibot,1
512,Allisoncabot,1
513,Allmusicbot,1
514,Alloybot,1
515,Almabot,285
516,Almahorn bot,1
517,AlmightyBot,1
518,Almorrana bot,1
519,AlmoullimBOT,2
520,AlnamhfBot,2
521,AlnoktaBOT,285
522,Alo-is-bot,1
523,AlogrinBot,2
524,AlohaBOT,2
525,Alohabot,1
526,AlonBot,1
527,AlonsBot,1
528,Alostibot,1
529,AloysiusLiliusBot,1
530,Alperenbot,1
531,Alph Bot,65
532,AlphaBot,15
533,AlphaRhoBot,2
534,Alphabot,1
535,Alphachimpbot,1
536,Alphachimpbot II,1
537,Alphachimpbot III,1
538,Alphachimpbot IV,1
539,Alphachimpbot V,1
540,AlphamaBot,3
541,Alpharobot-uv,2
542,AlpinBot,1
543,AlptaBot,1
544,AlptaSandboxBot,1
545,AlsBot,1
546,Alsobot,1
547,Alsonotabot,1
548,AlstonAbbot,1
549,Altanbot,5
550,AlteaBot,1
551,AltoBot,2
552,Altobot,1
553,Altzadh Bot,1
554,Alvarbot,1
555,AlvestrandNLBot,1
556,Alvreabot,1
557,AlyBot,1
558,Alybot,1
559,Alyshabrownkidrobot,1
560,Alyshakidrobot,1
561,Alyssaautobot,1
562,Am-bot,10
563,Amabot,1
564,Amadeo bot,3
565,Amakusabot,1
566,Amalthea (archivebot),1
567,Amalthea (bot 2),1
568,Amalthea (bot),1
569,AmandaCabot,5
570,Amandabot,1
571,AmaraBot,43
572,Amarbot,1
573,Amazingboyrobot,1
574,AmberRobot,1
575,Ambika.bot,1
576,Ambot,1
577,Ambot ani,1
578,Ambot lang,1
579,Ambot lang oi,1
580,Ambotambot,1
581,AmbraBot,2
582,AmclBOT,1
583,Amdfbot,4
584,AmebaBot,1
585,Ameenbot,1
586,AmeliorationBot,1
587,AmericanRobot,1
588,Americanbot,1
589,AmerigoBOT,41
590,Amfobot,1
591,Amforobot,1
592,Amforobot-wiki,1
593,AmiBot,1
594,Amiarobot,1
595,Amicabot,1
596,Amical-bot,8
597,AmigaBot,1
598,AmigoCgnBot,1
599,Amir-bot,1
600,Amire80Bot,9
601,Amirobot,285
602,Amirobot1,1
603,Amirzbot,1
604,Amish Robot,1
605,Amishbot,1
606,Amitbohobot,1
607,Amolbot,285
608,Amorbot,1
609,Amornbot,1
610,AmosesBot,1
611,Ampetamine the Bot,1
612,AmphBot,285
613,AmrMohallelBOT,1
614,Amrikabot,1
615,Amyrowbot,1
616,Amysrobot,1
617,An Unauthorized Bot On Wheels,1
618,An13saBot,3
619,AnBot,1
620,AnThRoBoT,1
621,Ana Elisa Botão,1
622,Ana Talbot,1
